winperc,sav,gpg,sp,sogp,fp,cp,mu,ga,,,
46.59999847,0.795154214,0.273487449,0.25,0.701960802,0.226923078,0.760683775,0.410018563,0.209979206,,,
43.79999924,0.618942738,0.421052635,0.330434769,0.782352924,0.51346153,0.670940161,0.241187379,0.335239083,,,
35.20000076,0.638766527,0.391539603,0.280434787,0.56078434,0.586538434,0.773504257,0.237476811,0.314968824,,,
60,0.790748894,0.489916384,0.421739131,0.774509788,0.563461542,0.854700863,0.447124302,0.140332639,,,
40,0.475770921,0.440727979,0.447826087,0.776470602,0.463461548,0.527777791,0.369202226,0.546777546,,,
53.29999924,0.581497788,0.440727979,0.354347825,0.823529422,0.467307687,0.846153855,0.491651207,0.387733877,,,
88.19999695,0.753303945,0.582390547,0.397826076,0.713725507,0.796153843,0.820512831,0.536178112,0.082120582,,,
6.599999905,0.299559474,0.240531236,0.276086956,0.662745118,0.200000003,0.438034177,0.333951771,0.649688125,,,
84.19999695,0.819383264,0.424987704,0.336956531,0.600000024,0.92884618,0.81410259,0.332096487,0.120582119,,,
42.90000153,0.753303945,0.456960171,0.339130431,0.788235307,0.634615362,0.68589741,0.589981437,0.292619556,,,
80,0.555066109,1,0.513043463,0.776470602,0.948076904,0.805555582,0.855287552,0.40280664,,,
25,0.431718051,0.356123954,0.369565219,0.729411781,0.417307705,0.495726496,0.307977736,0.422557175,,,
75,0.658590317,0.503197253,0.345652163,0.770588219,0.507692337,0.811965823,0.378478676,0.231288984,,,
72.19999695,0.649779737,0.614363015,0.476086944,0.701960802,0.644230783,0.841880322,0.838589966,0.169438675,,,
42.90000153,0.658590317,0.426463366,0.313043475,0.766666651,0.261538476,0.858974338,0.517625213,0.393970907,,,
0,0.328193843,0.080177076,0.156521738,0.69607842,0.107692309,0.025641026,0.020408163,0.820686042,,,
25,0.579295158,0.25086081,0.280434787,0.656862736,0.507692337,0.495726496,0.322820038,0.430353433,,,
66,0.709251106,0.390063941,0.260869563,0.674509823,0.625,0.717948735,0.311688304,0.232848227,,,
70.59999847,0.50660795,0.71569109,0.382608682,0.721568644,0.792307675,0.799145281,0.474953622,0.385135144,,,
60,0.339207053,0.522872627,0.326086968,0.558823526,0.524999976,0.809829056,0.653061211,0.379417866,,,
0,0.51982379,0.186424002,0.293478251,0.747058809,0.303846151,0.215811968,0.400742114,0.715696454,,,
40,0.671806157,0.322675854,0.308695644,0.660784304,0.690384626,0.670940161,0.543599248,0.299376309,,,
0,0.127753302,0.195277914,0.315217406,0.676470578,0.551923096,0.237179488,0.166975886,1,,,
56.29999924,0.585903108,0.525332034,0.443478256,0.907843113,0.480769217,0.747863233,0.78849721,0.308731794,,,
58.79999924,0.751101315,0.402852923,0.308695644,0.658431351,0.490384609,0.722222209,0.669758797,0.274948031,,,
57.09999847,0.654184997,0.679291666,0.515217364,0.721568644,0.65192306,0.833333313,0.62894249,0.276507288,,,
43.79999924,0.823788524,0.328578442,0.223913044,0.58431375,0.369230777,0.495726496,0.324675322,0.287422031,,,
33.29999924,0.583700418,0.221839651,0.282608688,0.645098031,0.600000024,0.470085472,0.159554735,0.376819134,,,
47,0.665198267,0.46089524,0.302173913,0.674509823,0.34807691,0.77136755,0.593692005,0.335758835,,,
29.39999962,0.51982379,0.397442192,0.339130431,0.647058845,0.5,0.572649598,0.400742114,0.366424114,,,
41.20000076,0.618942738,0.417609453,0.3347826,0.662745118,0.615384638,0.70726496,0.456400752,0.350311846,,,
17.60000038,0.579295158,0.258239061,0.243478268,0.71960783,0.574999988,0.68589741,0.222634509,0.379937619,,,
50,0.621145368,0.335956722,0.289130449,0.668627441,0.576923072,0.534188032,0.36178109,0.275467783,,,
37.5,0.621145368,0.319232672,0.206521735,0.533333361,0.386538476,0.844017088,0.395176262,0.335239083,,,
8.329999924,0.627753317,0.164289221,0.280434787,0.723529398,0.115384616,0.363247871,0.326530606,0.706860721,,,
62.5,0.625550687,0.497786522,0.345652163,0.637254894,0.77692306,0.777777791,0.76066792,0.264033258,,,
37.5,0.669603527,0.34579438,0.254347831,0.694117665,0.453846157,0.621794879,0.395176262,0.228690222,,,
56.29999924,0.559471369,0.47024101,0.560869575,0.701960802,0.655769229,0.863247871,0.6011132,0.380977124,,,
87.5,0.751101315,0.605017245,0.360869557,0.774509788,0.636538446,0.799145281,0.588126183,0.161122665,,,
50,0.603524208,0.479094923,0.341304362,0.707843125,0.778846145,0.722222209,0.341372907,0.312889814,,,
0,0.49559471,0.153467789,0.106521741,0.531372547,0.223076925,0.427350432,0.16883117,0.722453237,,,
50,0.751101315,0.424495816,0.343478262,0.652941167,0.349999994,1,0.608534336,0.244282737,,,
50,0.707048476,0.326610923,0.343478262,0.715686262,0.423076928,0.658119678,0.6011132,0.273908526,,,
60,0.623347998,0.490900159,0.4152174,0.762549043,0.61153847,0.737179458,0.491651207,0.25415799,,,
47.09999847,0.768722475,0.428922772,0.365217388,0.731372535,0.600000024,0.688034177,0.567717969,0.254677743,,,
13.30000019,0.726872265,0.83275944,0.232608691,0.631372571,0,0.626068354,0.111317255,0.574844062,,,
35.70000076,0.48237884,0.474176109,0.336956531,0.676470578,0.657692313,0.809829056,0.400742114,0.426195413,,,
